#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1000,-373497.6513270014,310.4182874998625,0
2000,-379879.0345682327,310.9587908018019,161
3000,-385368.68886328535,311.5704536596815,161
4000,-387795.7779578108,313.269455706927,161
5000,-389249.90077278344,312.3126553109152,160
6000,-391191.8144149969,310.82032395433805,160
7000,-392002.73966554715,308.7747224688398,160
8000,-394332.16255295975,311.214962490045,160
9000,-396019.9210922746,310.72111427072406,160
10000,-397221.7140145444,311.6106401352026,160
11000,-397044.98743977,310.2833896919422,160
12000,-398189.9658217153,310.19570366132336,159
13000,-398273.75609513465,310.4516569633196,159
14000,-399407.80303790397,310.0606364140768,159
15000,-398760.56632527406,308.92070061551107,159
16000,-400700.70015029004,311.6535222984546,159
17000,-401735.28084639297,312.2507749784489,159
18000,-400835.23044175445,309.81825797464325,159
19000,-402143.3407589155,311.1340237553097,159
20000,-401817.8528094108,312.1972467199311,159
21000,-401390.9718880579,312.8549573768007,159
22000,-402102.5332478024,311.2012995718289,159
23000,-403263.4057000964,309.655186980152,158
24000,-402348.4654420186,312.1140583739856,158
25000,-403175.72654473875,308.32926372243173,158
26000,-403448.8247281059,312.66059176934857,158
27000,-403628.2966925197,313.3690484306342,158
28000,-403372.0608124931,308.7029489355515,158
29000,-404083.64687589044,310.5298514300356,158
30000,-405372.8547557802,311.6840133988799,158
31000,-406387.07735764934,311.4588617264331,158
32000,-406408.59982972057,313.6230489251487,158
33000,-406511.30182712944,308.44460193769953,158
34000,-406712.72337031015,309.3282135547788,158
35000,-408256.84983835253,313.3552685243179,157
36000,-407994.9934616429,310.8084787510166,157
37000,-408440.04918061453,309.97085233225926,157
38000,-408640.84566351096,309.6349150623456,157
39000,-409017.58351901267,311.35040531220994,157
40000,-409208.785648827,310.6533071002969,157
41000,-409361.2079029542,311.5107822987897,157
42000,-409732.1146012,311.42461103373785,157
43000,-412019.1822295936,313.2184198589788,157
44000,-412505.97667318326,312.0034334646563,157
45000,-412054.2223959239,311.6830557641923,157
46000,-411948.98073545936,311.8485718311105,156
47000,-412709.4653370306,311.59039675383156,156
48000,-413224.5612317708,310.4386198596429,156
49000,-414753.692442311,312.3028083533724,156
50000,-413651.2625225971,312.27472036098595,156
51000,-414902.1449224481,309.4505440490512,156
52000,-413584.2118785067,311.47523875718406,156
53000,-414885.31536880345,313.0292756375154,156
54000,-415363.81584422826,310.338531102709,156
55000,-417106.3441135597,308.44595857308855,156
56000,-417320.2508225278,310.884501720556,156
57000,-416134.14761032606,312.8163396078111,156
58000,-416411.2221375776,311.6282321878542,155
59000,-416595.35692078574,310.74827672701,155
60000,-416892.4590801755,312.1071960608723,155
61000,-418299.25589996437,307.87807817672945,155
62000,-416528.44017526414,309.6785141235061,155
63000,-417302.59835782833,310.6360115129153,155
