#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,4630.000000016661,-437861.0170019395,312.7508010951183,0
20000,4660.000000013678,-437326.0836483347,311.41547928371915,210
30000,4690.000000010695,-437218.93168356246,311.32107633535793,211
40000,4720.000000007712,-438158.52097891085,309.52088504748855,213
50000,4750.0000000047285,-437586.4468025437,311.13828238490913,213
60000,4780.000000001745,-438249.5073766608,309.84536324196085,213
70000,4809.999999998762,-437014.2283113953,312.1613906966533,214
80000,4839.999999995779,-438008.72137322114,312.4308958570971,214
90000,4869.999999992796,-437852.2104156744,312.7567840680256,214
100000,4899.999999989813,-438478.531397484,310.2891743279473,214
110000,4929.99999998683,-437465.3611673552,307.9983186691488,214
120000,4959.9999999838465,-437441.1411846713,312.9714064187885,214
130000,4989.999999980863,-437214.67845126847,311.7261984921929,215
140000,5019.99999997788,-436951.3765650594,310.8022314160742,215
150000,5049.999999974897,-437586.06768832915,310.1172096683216,215
160000,5079.999999971914,-437810.6415046577,309.8295317052433,215
170000,5109.999999968931,-437241.5187428354,311.14397054060385,215
180000,5139.999999965948,-436883.5350647315,311.1319611437278,215
190000,5169.9999999629645,-436514.66800954635,309.8799901772774,215
200000,5199.999999959981,-437660.3938169868,309.5622607409147,215
210000,5229.999999956998,-438108.9314931729,311.2168538722471,215
220000,5259.999999954015,-436992.7004913294,309.6233422648459,215
230000,5289.999999951032,-436790.37294242275,310.30805696144694,215
240000,5319.999999948049,-437565.580742541,309.28110427043504,215
250000,5349.999999945066,-438107.75524474005,312.5019389238196,215
260000,5379.9999999420825,-437601.91024466744,309.4903073357939,215
270000,5409.999999939099,-438205.7702785004,312.49073248515,215
280000,5439.999999936116,-438897.36532412376,309.1427294002139,215
290000,5469.999999933133,-437951.7791627487,309.03041242193916,215
300000,5499.99999993015,-438246.4277335715,309.73849637473387,214
310000,5529.999999927167,-438445.64898073766,311.88667069589036,214
320000,5559.999999924184,-437380.4821566376,308.73827478291776,214
330000,5589.9999999212005,-438494.3905870714,310.15637322151986,214
340000,5619.999999918217,-437218.65962042287,309.9277017276846,215
350000,5649.999999915234,-437342.98858441133,308.79248850947397,215
360000,5679.999999912251,-437600.22653911123,310.0642762848845,215
370000,5709.999999909268,-438213.8716041327,308.83657735519876,214
380000,5739.999999906285,-437129.522074827,309.2852851442676,214
390000,5769.999999903302,-438264.4411046698,310.6231383192148,214
400000,5799.9999999003185,-438779.8424891101,313.01006944799593,214
410000,5829.999999897335,-438236.3352750812,310.9465305279667,214
420000,5859.999999894352,-438788.81556026405,311.425614833912,214
430000,5889.999999891369,-438299.9510030793,310.70202212955763,214
440000,5919.999999888386,-439242.28017940605,311.87236779795467,214
450000,5949.999999885403,-438764.1177826077,311.60757466145407,214
460000,5979.99999988242,-437014.284200958,312.69982367539114,214
470000,6009.9999998794365,-438490.26457810635,306.8923637069654,214
480000,6039.999999876453,-438322.7144419893,311.63557170135067,214
490000,6069.99999987347,-437966.5528842134,311.0122128526249,214
500000,6099.999999870487,-438435.1079723486,308.71379150043043,214
510000,6129.999999867504,-438181.1749273082,309.96307488193753,214
520000,6159.999999864521,-439031.2379118409,313.54799616239075,214
530000,6189.999999861538,-437756.8026616641,306.54806734752697,214
540000,6219.9999998585545,-438155.43478934024,311.92784097070495,214
550000,6249.999999855571,-438307.4639749343,309.3433798950987,214
560000,6279.999999852588,-438805.43645371846,310.15468459137315,214
570000,6309.999999849605,-438385.01342762634,310.54955735135434,214
580000,6339.999999846622,-437306.29595565307,309.64768053041865,214
590000,6369.999999843639,-439215.6261644724,311.2296068782688,214
600000,6399.999999840656,-439709.0357799041,311.8677628737576,214
610000,6429.9999998376725,-438349.22429151996,306.8986178176191,214
620000,6459.999999834689,-437415.6072296698,312.55404210980737,214
630000,6489.999999831706,-439179.4164635027,309.93702986314105,214
640000,6519.999999828723,-439898.29839884606,311.73253210057453,214
650000,6549.99999982574,-438269.3375869496,311.3844402345023,214
660000,6579.999999822757,-438579.4815171787,309.1961241343877,214
670000,6609.999999819774,-439253.9268018503,311.3033700711183,214
680000,6639.9999998167905,-437659.49481213186,308.61027114439906,214
690000,6669.999999813807,-438492.80425727554,310.79998094589024,214
700000,6699.999999810824,-438697.52340166573,310.183953611426,214
710000,6729.999999807841,-437370.11095257313,310.7961475992153,214
720000,6759.999999804858,-438678.85958185955,312.5060529952046,214
730000,6789.999999801875,-439374.47091963957,313.74084460879976,214
740000,6819.999999798892,-438179.3926561249,307.6184707041999,214
750000,6849.9999997959085,-438752.22687717155,308.2658531626909,214
760000,6879.999999792925,-437914.50501234084,312.4943971518377,214
770000,6909.999999789942,-438944.36688971985,309.7041089420828,214
780000,6939.999999786959,-437823.27528487775,311.836765028654,214
790000,6969.999999783976,-438147.9715168956,309.77764156193876,214
800000,6999.999999780993,-438260.1747522501,311.13207038819155,214
810000,7029.99999977801,-438605.1599751201,310.1636187737317,214
820000,7059.9999997750265,-438559.7604336713,312.1809547684852,214
830000,7089.999999772043,-438612.6626364337,310.5072302369066,214
840000,7119.99999976906,-439314.39551675157,311.95182430605104,214
850000,7149.999999766077,-437410.5869215855,312.2827435037192,214
860000,7179.999999763094,-437429.5017755232,311.4913143306759,214
870000,7209.999999760111,-438253.3284899099,310.52186983912907,214
880000,7239.999999757128,-438328.8639821359,309.23298028779755,214
890000,7269.9999997541445,-438350.10887595196,312.34126319152654,214
900000,7299.999999751161,-437779.7964402167,310.6453705684871,214
910000,7329.999999748178,-439673.87576225656,312.4690559284339,214
920000,7359.999999745195,-436707.1377248948,310.3468118846972,214
930000,7389.999999742212,-437286.5049165522,308.4137413074231,214
940000,7419.999999739229,-438902.7383497469,312.5718845800115,214
950000,7449.999999736246,-438368.50032155216,309.2860110423964,214
960000,7479.9999997332625,-438538.446484372,309.4437557144264,214
970000,7509.999999730279,-439360.5039618884,310.39198683367937,214
980000,7539.999999727296,-438359.47186629917,312.5030306317829,215
990000,7569.999999724313,-439050.5178807874,311.97307395589365,215
1000000,7599.99999972133,-438758.8435360035,308.8735201723808,214
1010000,7629.999999718347,-437935.3373128262,311.21430270862174,214
1020000,7659.999999715364,-438801.83192222775,310.74048544071223,215
1030000,7689.9999997123805,-437216.94840613427,309.96375385112674,215
1040000,7719.999999709397,-437242.94083278,310.0528105879844,215
1050000,7749.999999706414,-438320.58613942494,309.1222218902962,215
1060000,7779.999999703431,-438344.27331088856,309.77225826871825,215
1070000,7809.999999700448,-437336.14744393225,309.1864856883997,215
1080000,7839.999999697465,-437705.0739737132,309.9613857283829,215
1090000,7869.999999694482,-438292.5927566632,310.9921514444978,215
1100000,7899.9999996914985,-438546.61757442006,309.32365285821777,215
1110000,7929.999999688515,-437585.23176064296,310.0070440667075,215
1120000,7959.999999685532,-437737.4451183521,308.3294937193801,215
1130000,7989.999999682549,-438910.3316406952,311.58609971253014,215
1140000,8019.999999679566,-437966.04561528726,308.7004391606722,215
1150000,8049.999999676583,-437726.1576765927,310.4332071532757,215
1160000,8079.9999996736,-439081.61009925813,310.26841796636893,215
1170000,8109.9999996706165,-439909.6436383142,308.75172023425347,215
1180000,8139.999999667633,-438419.7109280834,310.2768122870275,215
1190000,8169.99999966465,-439139.4323605199,310.1691061381547,215
1200000,8199.999999664093,-439783.15651763487,311.9697769916778,215
1210000,8229.999999670204,-439261.71545873303,308.4670808903548,215
1220000,8259.999999676316,-438543.8730720312,307.9918790428892,215
1230000,8289.999999682428,-437623.702812698,311.86166513874076,215
1240000,8319.99999968854,-437235.5763902231,312.0567845055894,215
1250000,8349.999999694652,-437972.4022765595,309.27962568285096,215
1260000,8379.999999700764,-437914.892669003,308.61974747221075,215
1270000,8409.999999706875,-439013.0251578272,308.89540944930917,215
1280000,8439.999999712987,-438451.72700136504,310.79025094100905,215
1290000,8469.999999719099,-438615.98930384475,308.7273244038188,215
1300000,8499.99999972521,-439029.72477372247,311.01002998422194,215
1310000,8529.999999731323,-437922.9365663708,310.2692669301735,215
1320000,8559.999999737434,-438281.7802879587,311.0816964187522,215
1330000,8589.999999743546,-438278.20902105304,312.33976786522203,215
1340000,8619.999999749658,-437848.25117033836,313.0958534367593,215
1350000,8649.99999975577,-440392.3433353959,309.41036562845335,215
1360000,8679.999999761882,-439980.7292933059,311.91565140335337,215
1370000,8709.999999767993,-438704.4681822732,311.91867741133285,215
1380000,8739.999999774105,-438276.72232639836,309.52292947494834,215
1390000,8769.999999780217,-437254.52120617125,311.7720102844436,215
1400000,8799.999999786329,-438038.7772165248,310.52126822586644,215
1410000,8829.99999979244,-438538.7321678314,308.21208034404725,215
1420000,8859.999999798552,-438122.3622266215,309.9285988754578,215
1430000,8889.999999804664,-438029.1044668993,311.7089241187845,215
1440000,8919.999999810776,-439741.70917575713,310.2187188756658,215
1450000,8949.999999816888,-438705.61012991867,311.93351391773933,215
1460000,8979.999999823,-438299.0935241317,311.3853543334827,215
1470000,9009.999999829111,-439115.9787387436,309.8962958790138,215
1480000,9039.999999835223,-438603.8963789088,309.99325702179505,215
1490000,9069.999999841335,-439434.78484966187,309.03016475233306,215
1500000,9099.999999847447,-438927.65956542105,311.2351273410865,215
1510000,9129.999999853559,-439005.7168169613,307.8246951794488,215
1520000,9159.99999985967,-438643.1576119398,312.0545445157237,215
1530000,9189.999999865782,-437700.0548764514,309.83368206635515,215
1540000,9219.999999871894,-438685.7936309348,309.3542541986086,215
1550000,9249.999999878006,-436364.29077262967,314.02617672226125,215
